Date,Close,High,Low,Open,Volume,SMA_10,SMA_20,EMA_10,EMA_20,RSI_14,MACD,MACD_signal,MACD_hist,ATR_14,BB_upper,BB_middle,BB_lower,OBV,news_avg_polarity,news_avg_subjectivity,news_avg_compound,news_avg_positive,news_avg_negative,news_news_count
2023-11-25,0.0789550021290779,0.0791049972176551,0.0777629986405372,0.0782160013914108,291859035.0,0.0785694003105163,0.0769980501383542,0.0773982585499207,0.0759769620574517,56.65473507571486,0.0022848525820913,0.0027586931947115,-0.0004738406126202,0.0038919063957598,0.0834272491811256,0.0769980501383542,0.0705688510955828,236960946659.0,0,0,0,0,0,0
2023-11-26,0.0787039995193481,0.0789799988269805,0.0763460025191307,0.0789519995450973,343339848.0,0.0785121001303195,0.0771142002195119,0.0776356659989075,0.0762366799109656,56.20914359504058,0.0022356096690068,0.0026540764895705,-0.0004184668205637,0.0038020556751948,0.0835784510601238,0.0771142002195119,0.0706499493789,236617606811.0,0,0,0,0,0,0
2023-11-27,0.0787879973649978,0.0813200026750564,0.0770889967679977,0.0786899998784065,743996999.0,0.077760499715805,0.0773777000606059,0.0778451807927421,0.0764796625256353,56.3329175976742,0.0021782526886761,0.0025589117293917,-0.0003806590407155,0.0038326949774708,0.0836612181213481,0.0773777000606059,0.0710941819998637,237361603810.0,0,0,0,0,0,0
2023-11-28,0.0810090005397796,0.0810310021042823,0.0770369991660118,0.0787919983267784,618900678.0,0.0778230994939803,0.0776541002094745,0.0784204207467489,0.0769110280507919,59.58564289008676,0.0022856655335429,0.0025042624902219,-0.0002185969566789,0.0038442169746708,0.0840646215308001,0.0776541002094745,0.0712435788881488,237980504488.0,0,0,0,0,0,0
2023-11-29,0.0805929973721504,0.0828419998288154,0.0797860026359558,0.0810040012001991,596560786.0,0.0778247989714145,0.0780106998980044,0.0788154346786401,0.0772616917956832,58.70359923134079,0.002310587987989,0.0024655275897753,-0.0001549396017863,0.0037879155616843,0.0842394350612309,0.0780106998980044,0.071781964734778,237383943702.0,0,0,0,0,0,0
2023-11-30,0.083416998386383,0.0842169970273971,0.0805369988083839,0.0805990025401115,645565938.0,0.0783785991370677,0.0784093499183654,0.0796520826255024,0.0778479114709879,62.736227301897664,0.0025290590746535,0.002478233886751,5.082518790255246e-05,0.0037802071800649,0.08494306825479,0.0784093499183654,0.0718756315819407,238029509640.0,0,0,0,0,0,0
2023-12-01,0.0838569998741149,0.0849080011248588,0.0825039967894554,0.0834140032529831,519429439.0,0.0795523993670939,0.0786818999797105,0.080416613034341,0.0784202056046191,63.33695611878811,0.002706504528188,0.0025238880150384,0.0001826165131496,0.0036819069768748,0.0856337139097468,0.0786818999797105,0.0717300860496742,238548939079.0,0,0,0,0,0,0
2023-12-02,0.08627899736166,0.0864809975028038,0.0835480019450187,0.083856001496315,462433973.0,0.0806018993258475,0.0790967997163533,0.0814825010938535,0.0791686619624325,66.53501533147283,0.0030078931642578,0.0026206890448823,0.0003872041193755,0.0036284133040827,0.0867834164011403,0.0790967997163533,0.0714101830315664,239011373052.0,0,0,0,0,0,0
2023-12-03,0.0856150016188621,0.0871469974517822,0.0838899984955787,0.0862829983234405,550096321.0,0.0815433993935584,0.0796384498476981,0.0822338648256733,0.0797825990725686,64.86453419595463,0.0031567775558927,0.0027279067470844,0.0004288708088083,0.0036018837078056,0.0875557995778693,0.0796384498476981,0.071721100117527,238461276731.0,0,0,0,0,0,0
2023-12-04,0.0919400006532669,0.0919540002942085,0.0854310020804405,0.0856169983744621,1364950607.0,0.082915699481964,0.0806125998497008,0.0839986167943266,0.080940446842159,72.06050929209695,0.0037420085258053,0.0029307271028285,0.0008112814229767,0.0038105347439458,0.0894917631924451,0.0806125998497008,0.0717334365069566,239826227338.0,0,0,0,0,0,0
2023-12-05,0.0942469984292984,0.0950570032000541,0.0877199992537498,0.0919210016727447,1094480332.0,0.0844448991119861,0.0815071497112512,0.085861958909776,0.0822077374695056,74.1408283194467,0.0043419128572915,0.0032129642537211,0.0011289486035703,0.0040624254012571,0.0919567574721944,0.0815071497112512,0.0710575419503079,240920707670.0,0,0,0,0,0,0
2023-12-06,0.0948640033602714,0.1054319962859153,0.0937739983201026,0.0942479968070983,2606846041.0,0.0860608994960784,0.082286499813199,0.0874986942644115,0.083413096125769,74.68374974210688,0.0048116626515843,0.0035327039332938,0.0012789587182905,0.0046049662987253,0.0941798236355787,0.082286499813199,0.0703931759908192,243527553711.0,0,0,0,0,0,0
