Date,Close,High,Low,Open,Volume,SMA_10,SMA_20,EMA_10,EMA_20,RSI_14,MACD,MACD_signal,MACD_hist,ATR_14,BB_upper,BB_middle,BB_lower,OBV,news_avg_polarity,news_avg_subjectivity,news_avg_compound,news_avg_positive,news_avg_negative,news_news_count
2020-12-11,1.2739200592041016,1.2791999578475952,1.2719000577926636,1.2740700244903564,0.0,1.2865080118179322,1.296500015258789,1.2856232642902443,1.2933144172934117,25.94079184886337,-0.0091595489869917,-0.0073007351016043,-0.0018588138853874,0.0083840766235768,1.3203785063857525,1.296500015258789,1.2726215241318255,0.0,0,0,0,0,0,0
2020-12-14,1.2750600576400757,1.2789000272750854,1.2720199823379517,1.275089979171753,0.0,1.2841880202293396,1.2946350157260895,1.2837026812629408,1.2915759068502368,27.65335708720569,-0.0094696190434973,-0.0077345118899829,-0.0017351071535143,0.0082766457888309,1.319086921018623,1.2946350157260895,1.270183110433556,0.0,0,0,0,0,0,0
2020-12-15,1.2760299444198608,1.277109980583191,1.2728999853134155,1.2760299444198608,0.0,1.281871008872986,1.2930600106716157,1.2823076382005625,1.290095338999725,29.15436379293611,-0.0095272656518476,-0.0080930626423558,-0.0014342030094918,0.0079861707517555,1.318038931500754,1.2930600106716157,1.2680810898424777,0.0,0,0,0,0,0,0
2020-12-16,1.2699600458145142,1.276270031929016,1.2690999507904053,1.2698999643325806,0.0,1.2795370101928711,1.291033011674881,1.2800626214030992,1.2881776920297048,25.577752742893423,-0.0099480659813027,-0.0084640633101452,-0.0014840026711574,0.0079278786365308,1.3165947494122856,1.291033011674881,1.2654712739374765,0.0,0,0,0,0,0,0
2020-12-17,1.2747000455856323,1.274880051612854,1.2690399885177612,1.2746200561523438,0.0,1.2778350114822388,1.2893470168113708,1.279087607618105,1.2868941066540789,32.53777129892005,-0.0097862649359568,-0.0087285036353075,-0.0010577613006492,0.0077787489549995,1.314544719137436,1.2893470168113708,1.2641493144853055,0.0,0,0,0,0,0,0
2020-12-18,1.2731000185012815,1.2784600257873535,1.272699952125549,1.2731900215148926,0.0,1.2764990091323851,1.287573516368866,1.2779989550514097,1.28558038397286,31.467953511625566,-0.0096756108366631,-0.0089179250755786,-0.0007576857610844,0.0076345578626285,1.3120935316871338,1.287573516368866,1.263053501050598,0.0,0,0,0,0,0,0
2020-12-21,1.281059980392456,1.2953100204467771,1.280400037765503,1.2809799909591677,0.0,1.276809012889862,1.286215513944626,1.278555505113418,1.2851498693461547,41.73203719415553,-0.0088436699432006,-0.008903074049103,5.940410590243167e-05,0.0086756610114047,1.3089549951019102,1.286215513944626,1.2634760327873416,0.0,0,0,0,0,0,0
2020-12-22,1.2853200435638428,1.2933399677276611,1.284600019454956,1.2853200435638428,0.0,1.2773210167884828,1.2851095139980315,1.2797854211953137,1.285166076414506,46.36211080984158,-0.0077512477372922,-0.0086727087867409,0.0009214610494486,0.0089331128916761,1.3056583658095633,1.2851095139980315,1.2645606621864998,0.0,0,0,0,0,0,0
2020-12-23,1.289330005645752,1.2912499904632568,1.284000039100647,1.2893999814987185,0.0,1.2780920147895811,1.2845940113067629,1.281520800186302,1.2855626411031962,50.36057928793876,-0.0064871450710035,-0.0082355960435934,0.0017484509725898,0.0088128870681714,1.30415232151685,1.2845940113067629,1.2650357010966753,0.0,0,0,0,0,0,0
2020-12-24,1.2845499515533447,1.2853100299835205,1.281980037689209,1.2841999530792236,0.0,1.2783030152320862,1.2838115096092224,1.28207155498031,1.2854661944794008,45.96213199503906,-0.0058041385213565,-0.007749304539146,0.0019451660177895,0.0087083928459122,1.3020150632394856,1.2838115096092224,1.2656079559789593,0.0,0,0,0,0,0,0
2020-12-25,1.2848199605941772,1.2913000583648682,1.2710800170898438,1.2860699892044067,0.0,1.2793930053710938,1.282950508594513,1.282571265091922,1.2854046483950938,46.2477172403307,-0.0051813362182748,-0.0072357108749718,0.0020543746566969,0.0095306534479917,1.2991416183595488,1.282950508594513,1.2667593988294772,0.0,0,0,0,0,0,0
2020-12-28,1.283959984779358,1.2875299453735352,1.2813999652862549,1.283619999885559,0.0,1.280282998085022,1.2822355091571809,1.2828237595805467,1.285267061384071,45.42430286332405,-0.0047029411886294,-0.0067291569377033,0.0020262157490738,0.0092877482079408,1.2968449240591462,1.2822355091571809,1.2676260942552156,0.0,0,0,0,0,0,0
2020-12-29,1.284000039100647,1.2842999696731567,1.2782000303268433,1.2842999696731567,0.0,1.2810800075531006,1.2814755082130431,1.2830376285842011,1.2851463925951736,45.47299822384355,-0.0042713402800735,-0.0062375936061773,0.0019662533261038,0.0090600475749675,1.293892759432466,1.2814755082130431,1.2690582569936202,0.0,0,0,0,0,0,0
2020-12-30,1.2822099924087524,1.2826299667358398,1.2749199867248535,1.2822799682617188,0.0,1.2823050022125244,1.2809210062026977,1.282887149279574,1.284866735434562,43.60067356267074,-0.0040273109250874,-0.0057955370699594,0.0017682261448719,0.0090614764893122,1.2921059181766688,1.2809210062026977,1.2697360942287266,0.0,0,0,0,0,0,0
2020-12-31,1.2750699520111084,1.2756099700927734,1.2714099884033203,1.2750600576400757,0.0,1.282341992855072,1.2800885021686554,1.2814658406853072,1.283933708441852,37.04806672343672,-0.0043598004259775,-0.005508389741163,0.0011485893151855,0.0091856570261779,1.290376999454758,1.2800885021686554,1.2698000048825528,0.0,0,0,0,0,0,0
2021-01-01,1.2349900007247925,1.2728999853134155,1.2349900007247925,1.2349900007247925,0.0,1.2785309910774232,1.2775150001049045,1.2730156879652137,1.2792724029449891,19.411985933660887,-0.0077678746341192,-0.0059602867197542,-0.0018075879143649,0.0113923923304734,1.2993786042782796,1.2775150001049045,1.255651395931529,0.0,0,0,0,0,0,0
2021-01-04,1.2722100019454956,1.278589963912964,1.2662999629974363,1.2723599672317505,0.0,1.277645993232727,1.2772275030612943,1.272869199597992,1.27859979332599,45.40364735843619,-0.0073803785501389,-0.0062443050858312,-0.0011360734643077,0.0136929331060233,1.2992110327037434,1.2772275030612943,1.2552439734188456,0.0,0,0,0,0,0,0
2021-01-05,1.2781000137329102,1.278839945793152,1.2699999809265137,1.277999997138977,0.0,1.276923990249634,1.2771225035190583,1.2738202567134316,1.2785521952695065,48.24819712107521,-0.0065228193839199,-0.0063000079454489,-0.000222811438471,0.0133462925174958,1.2990682679816246,1.2771225035190583,1.255176739056492,0.0,0,0,0,0,0,0
2021-01-06,1.2674700021743774,1.2718600034713743,1.2630000114440918,1.2676399946212769,0.0,1.2747379899024964,1.2764150023460388,1.2726656649790582,1.2774967483080653,43.811680864855866,-0.006624586550282,-0.0063649236664155,-0.0002596628838665,0.0134715575011617,1.2986456784853897,1.2764150023460388,1.254184326206688,0.0,0,0,0,0,0,0
2021-01-07,1.2665400505065918,1.2732700109481812,1.2663999795913696,1.266669988632202,0.0,1.272936999797821,1.2756200075149535,1.271551916893155,1.2764532532793536,43.43539656114893,-0.0067030089754855,-0.0064325407282295,-0.000270468247256,0.0130000199194224,1.2980681218528511,1.2756200075149535,1.253171893177056,0.0,0,0,0,0,0,0
2021-01-08,1.268380045890808,1.271939992904663,1.2659000158309937,1.2685400247573853,0.0,1.271293008327484,1.275343006849289,1.2709752130745466,1.2756843763852064,44.45196340171703,-0.0065412832212716,-0.006454289226838,-8.699399443367218e-05,0.0125028740018686,1.2980039062988722,1.275343006849289,1.252682107399706,0.0,0,0,0,0,0,0
2021-01-11,1.2730799913406372,1.2834099531173706,1.2719000577926636,1.2726000547409058,0.0,1.270205008983612,1.275244003534317,1.2713579000320177,1.275436339714295,47.0687259030488,-0.0059651060477985,-0.0063564525910301,0.0003913465432315,0.012683376375061,1.29792627399003,1.275244003534317,1.2525617330786043,0.0,0,0,0,0,0,0
2021-01-12,1.2771400213241575,1.2789900302886963,1.2732700109481812,1.2772400379180908,0.0,1.2695190072059632,1.275299507379532,1.2724091948124068,1.2755985951057105,49.2910202150133,-0.0051218297331692,-0.0061095280194579,0.0009876982862887,0.0121995665588466,1.2979946281413943,1.275299507379532,1.2526043866176693,0.0,0,0,0,0,0,0
2021-01-13,1.2707699537277222,1.274500012397766,1.27020001411438,1.2705999612808228,0.0,1.26837500333786,1.2753400027751922,1.2721111509788277,1.275138724498283,46.02595739691759,-0.0049109282723269,-0.0058698080700317,0.0009588797977047,0.0118238837481988,1.2979997324334056,1.2753400027751922,1.2526802731169788,0.0,0,0,0,0,0,0
2021-01-14,1.2698099613189695,1.2707200050354004,1.2632900476455688,1.2698299884796145,0.0,1.2678490042686463,1.2750954985618592,1.2716927528588533,1.2746312232431103,45.53641421726224,-0.0047663076815127,-0.0056491079923279,0.0008828003108151,0.0115135996291956,1.297882744591219,1.2750954985618592,1.252308252532499,0.0,0,0,0,0,0,0
2021-01-15,1.2647700309753418,1.2762800455093384,1.2636200189590454,1.2647299766540527,0.0,1.2708270072937011,1.274678999185562,1.2704340761527604,1.2736920620747514,42.95339808329832,-0.0050007297795802,-0.0055194323497784,0.0005187025701981,0.0115954872664168,1.2978973402701952,1.274678999185562,1.2514606581009289,0.0,0,0,0,0,0,0
2021-01-18,1.2764699459075928,1.2798399925231934,1.2755999565124512,1.2769500017166138,0.0,1.2712530016899108,1.274449497461319,1.2715315070172752,1.2739566224397838,50.03850728978012,-0.0041940788956689,-0.0052543616589565,0.0010602827632875,0.011843664000805,1.2975011523337208,1.274449497461319,1.2513978425889172,0.0,0,0,0,0,0,0
2021-01-19,1.274799942970276,1.2762900590896606,1.2718000411987305,1.274799942970276,0.0,1.2709229946136475,1.2739234924316407,1.272125768099639,1.274036938680783,49.10110237627501,-0.0036475112990497,-0.0049329915869751,0.0012854802879254,0.0113312526228091,1.2964326655636969,1.2739234924316407,1.2514143192995846,0.0,0,0,0,0,0,0
2021-01-20,1.2722699642181396,1.2731499671936035,1.260599970817566,1.272220015525818,0.0,1.2714029908180238,1.27307049036026,1.27215198557573,1.2738686553986265,47.64489386236321,-0.003379543409572,-0.0046223019514945,0.0012427585419224,0.0115361611606592,1.2944440049561567,1.27307049036026,1.2516969757643637,0.0,0,0,0,0,0,0
2021-01-21,1.2625999450683594,1.2640000581741333,1.2593499422073364,1.262789964675903,0.0,1.2710089802742004,1.2719729900360108,1.2704152509380262,1.272795444890982,42.46140864198589,-0.0039024812812218,-0.0044783378174399,0.0005758565362181,0.0116350083642409,1.2931290755959473,1.2719729900360108,1.2508169044760744,0.0,0,0,0,0,0,0
2021-01-22,1.2646700143814087,1.2727199792861938,1.2639000415802002,1.2648299932479858,0.0,1.2706379771232603,1.2709654927253724,1.2693706624731864,1.2720215943662607,43.86923375585017,-0.0041025839843942,-0.0044031870508308,0.0003006030664366,0.0115267959252118,1.2914881025270872,1.2709654927253724,1.2504428829236576,0.0,0,0,0,0,0,0
2021-01-25,1.2722899913787842,1.277780055999756,1.2685999870300293,1.2723400592803955,0.0,1.270558977127075,1.2703819930553435,1.2699014495469314,1.2720471559865012,48.83218293992561,-0.0036047450998024,-0.0042434986606251,0.0006387535608226,0.0116398849032929,1.29003892873215,1.2703819930553435,1.2507250573785371,0.0,0,0,0,0,0,0
2021-01-26,1.2737499475479126,1.278190016746521,1.2696599960327148,1.2738499641418457,0.0,1.2702199697494507,1.2698694884777069,1.2706011764562006,1.2722093266113976,49.7489413729212,-0.0030571569334274,-0.0040062303151856,0.0009490733817581,0.011417751746901,1.2885917443329211,1.2698694884777069,1.2511472326224924,0.0,0,0,0,0,0,0
2021-01-27,1.2693899869918823,1.2818299531936646,1.2686599493026731,1.2691500186920166,0.0,1.2700819730758668,1.2692284882068634,1.270380960189961,1.2719408180762055,47.03850651100635,-0.002941098591781,-0.0037932039705047,0.0008521053787236,0.0115429126143361,1.2870741519882918,1.2692284882068634,1.251382824425435,0.0,0,0,0,0,0,0
2021-01-28,1.281599998474121,1.288030028343201,1.2789299488067627,1.2815099954605105,0.0,1.2712609767913818,1.269554990530014,1.272420785332535,1.2728607400188643,54.512687421016174,-0.0018426348885829,-0.0034030901541203,0.0015604552655374,0.0120498503812634,1.2880435711709124,1.269554990530014,1.2510664098891158,0.0,0,0,0,0,0,0
2021-01-29,1.2830899953842163,1.2874000072479248,1.2740199565887451,1.28288996219635,0.0,1.273092973232269,1.2719599902629852,1.2743606417055682,1.2738349548155643,55.340947754924905,-0.0008421563375387,-0.002890903390804,0.0020487470532653,0.0121448646868288,1.28274808956204,1.2719599902629852,1.2611718909639305,0.0,0,0,0,0,0,0
2021-02-01,1.2802200317382812,1.283769965171814,1.2760000228881836,1.2800300121307373,0.0,1.273467981815338,1.2723604917526246,1.2754259853478795,1.2744430573796328,53.32677098704789,-0.0002776513665954,-0.0023682529859622,0.0020906016193668,0.0118323702294575,1.283734788943216,1.2723604917526246,1.260986194562033,0.0,0,0,0,0,0,0
2021-02-02,1.284600019454956,1.286810040473938,1.2782599925994873,1.2848600149154663,0.0,1.274447989463806,1.2726854920387267,1.277093991549166,1.2754103871010922,55.96109209026751,0.0005171894554636,-0.0017911644976771,0.0023083539531407,0.0115979186326713,1.2850274902966596,1.2726854920387267,1.2603434937807938,0.0,0,0,0,0,0,0
2021-02-03,1.2785099744796753,1.280959963798523,1.2762000560760498,1.278480052947998,0.0,1.2750719904899597,1.2732374906539916,1.2773514429910768,1.2757055858990525,51.60011483183702,0.0006482185407528,-0.0013032878899911,0.0019515064307439,0.0113694932574024,1.2855845859945871,1.2732374906539916,1.260890395313396,0.0,0,0,0,0,0,0
2021-02-04,1.27839994430542,1.2842999696731567,1.2776999473571775,1.2785199880599976,0.0,1.2766519904136655,1.273830485343933,1.2775420795936847,1.2759621914615635,51.52199410263661,0.0007347122142922,-0.0008956878691344,0.0016304000834266,0.0110288167615864,1.2859714588294318,1.273830485343933,1.2616895118584344,0.0,0,0,0,0,0,0
2021-02-05,1.282289981842041,1.2832499742507937,1.2770999670028689,1.282480001449585,0.0,1.278413987159729,1.2745259821414947,1.2784053345479311,1.276564838164466,54.16408756291388,0.0011044215088551,-0.0004956659935365,0.0016000875023916,0.0106803303677534,1.2869291886683476,1.2745259821414947,1.2621227756146418,0.0,0,0,0,0,0,0
2021-02-08,1.2758400440216064,1.278130054473877,1.2740099430084229,1.27593994140625,0.0,1.278768992424011,1.2746639847755432,1.2779389180885994,1.2764958101508603,49.36046283881641,0.0008669688336335,-0.0002231390281025,0.001090107861736,0.0105088809724581,1.287061183131844,1.2746639847755432,1.2622667864192425,0.0,0,0,0,0,0,0
2021-02-09,1.2737699747085571,1.276360034942627,1.2709200382232666,1.2740299701690674,0.0,1.2787709951400756,1.2744954824447632,1.277180928383137,1.276236206775403,47.89242086462375,0.0005059166917935,-7.732788412329918e-05,0.0005832445759168,0.0101468178115225,1.286845002854298,1.2744954824447632,1.2621459620352282,0.0,0,0,0,0,0,0
2021-02-10,1.2697099447250366,1.270859956741333,1.2668999433517456,1.269700050354004,0.0,1.2788029909133911,1.274442481994629,1.275822567718028,1.275614658008701,45.06170728219413,-0.0001066013860175,-8.31825845021575e-05,-2.3418801515433236e-05,0.009912761636186,1.2868643892380336,1.274442481994629,1.2620205747512243,0.0,0,0,0,0,0,0
2021-02-11,1.2696000337600708,1.2709499597549438,1.2660200595855713,1.2695499658584597,0.0,1.277602994441986,1.274431985616684,1.2746911979074902,1.275041836651689,44.98419232188599,-0.0005940474625789,-0.0001853555601175,-0.0004086919024614,0.009556842959985,1.286869877330585,1.274431985616684,1.2619940939027825,0.0,0,0,0,0,0,0
2021-02-12,1.2700599431991575,1.2761900424957275,1.2692099809646606,1.2700899839401243,0.0,1.2762999892234803,1.2746964812278747,1.2738491515968842,1.2745673706085907,45.40737496810582,-0.0009324919551991,-0.0003347828391338,-0.0005977091160653,0.0093727871436337,1.2865106081975344,1.2746964812278747,1.262882354258215,0.0,0,0,0,0,0,0
